id;code;name;type;description;is_active
1;yum;bandwidth;GALLERY;oh council;false
2;fully through;reiterate notwithstanding yowza;SINGLE_IMAGE;ack;true
3;which likewise address;fill rebound if;MAP_EMBED;consequently magnetize;true
4;since rosemary aboard;dark solace;TEXT_LIST;awkwardly than who;true
5;down;muffled;TEXT_LIST;circumference breakable helplessly;true
6;label;alligator;GALLERY;aside eek;false
7;neat evenly;yet warming tricky;TEXT_LIST;valuable phew pfft;false
8;courageously;upon;SINGLE_IMAGE;oh;false
9;though untidy ew;considerate ew vainly;TEXT_LIST;earth sup gah;false
10;excepting;impact baa;SINGLE_IMAGE;carefree;false
