id;code;issued_date;status;tax_amount;total_amount;currency
1;once abnormally whoever;2025-12-19T04:40:25;CANCELLED;2342.76;15921.14;unt
2;meanwhile yahoo hourly;2025-12-19T10:59:38;DRAFT;11145.7;7591.11;ack
3;hence kielbasa;2025-12-19T02:09:24;DRAFT;13501.01;19872.33;bri
4;mobility upbeat moor;2025-12-19T14:51:08;DRAFT;16752.21;32552.42;for
5;wicked;2025-12-19T14:50:32;CANCELLED;2443.66;17754.66;dec
6;general;2025-12-19T01:17:34;ISSUED;1981.76;31036.54;fix
7;hm orchestrate to;2025-12-19T00:50:41;DRAFT;17172.9;14639.08;spe
8;institute;2025-12-19T13:41:41;DRAFT;13480.9;31712.3;rep
9;haversack;2025-12-19T01:43:45;CANCELLED;29781.26;26756.74;wil
10;marimba ha;2025-12-19T11:10:46;PAID;23922.5;22067.7;aha
