id;description;amount;tax;date;invoice_id
1;sneaky apropos around;29234.51;6736.39;2025-12-19T16:46:29;1
2;potentially minister beneath;17146.76;29639.64;2025-12-19T20:20:03;2
3;webbed once;22328.21;29156.85;2025-12-19T09:15:43;3
4;seemingly circumnavigate;21025.26;23670.67;2025-12-19T11:55:19;4
5;until deficient godparent;7169.06;10731.2;2025-12-19T06:01:22;5
6;noted athwart;32185.61;28538.61;2025-12-19T00:35:27;6
7;silently lavish;10466.55;7239.63;2025-12-18T23:21:31;7
8;topsail;12230.45;16056.89;2025-12-19T07:45:21;8
9;from;20768.23;11215.35;2025-12-19T09:55:30;9
10;accept of;19926.41;27081.13;2025-12-19T00:53:37;10
