id;date;amount;method;reference_id;invoice_id
1;2025-12-19T04:25:04;16004.01;CASH;abnormally;1
2;2025-12-18T23:33:34;24120.57;PAYPAL;recount innovate annually;2
3;2025-12-19T05:30:12;27800.97;CREDIT_CARD;fly;3
4;2025-12-19T15:57:52;25091.45;BANK_TRANSFER;mmm;4
5;2025-12-19T07:22:22;25072.96;CASH;ha;5
6;2025-12-19T11:29:24;13867.01;BANK_TRANSFER;mockingly;6
7;2025-12-18T22:16:22;26620.89;PAYPAL;yum than;7
8;2025-12-19T09:20:31;11313.78;CREDIT_CARD;backbone for license;8
9;2025-12-19T19:19:23;7417.02;CASH;upon see triumphantly;9
10;2025-12-19T00:07:48;20600.92;CREDIT_CARD;thrifty;10
