id;name;description;base_price;max_capacity;image_url;area;beds
1;psst after oof;../fake-data/blob/hipster.txt;22416.37;1119;though aside miserable;21876.09;29612
2;fatal fondly;../fake-data/blob/hipster.txt;22325.25;22708;gracefully basic;30202.69;16868
3;reproachfully;../fake-data/blob/hipster.txt;717.78;8525;enormously though peter;30958.02;24079
4;pry;../fake-data/blob/hipster.txt;7912.77;5746;webbed serve;26611.5;32185
5;because except;../fake-data/blob/hipster.txt;30571.41;3324;dishonor beyond joyous;9377.49;14466
6;although;../fake-data/blob/hipster.txt;94.8;19088;yesterday;13561.07;13929
7;instead neaten;../fake-data/blob/hipster.txt;8612.86;6641;whenever unimpressively;3069.67;21388
8;politely;../fake-data/blob/hipster.txt;28581.55;1704;accidentally instance volunteer;13785.92;12885
9;shadowbox exaggerate;../fake-data/blob/hipster.txt;2685;1919;drat;21421.38;18644
10;appliance transplant gadzooks;../fake-data/blob/hipster.txt;28439.24;8361;euphonium aw wonderfully;28168.24;20108
