id;title;subtitle;image_url;action_url;sort_order;is_active;collection_id
1;excluding hmph between;shakily;wherever;handover salty going;15358;false;1
2;defendant repeatedly;over against;octave shakily;broadside;30536;true;2
3;usefully enchanting eek;mechanically;times dirty compete;meh;13946;true;3
4;including what;slimy efface provision;off orientate resolve;seafood hotfoot parched;25538;true;4
5;instantly;specific knowingly;that upon;blah zowie;16154;true;5
6;poorly yippee;vice;expostulate considering;when;7169;true;6
7;of finally sorrowful;as jut;during vivaciously;carefully outlying;20843;false;7
8;summary per badly;challenge;phooey round;round;11660;false;8
9;hydrant up;urban modulo;courtroom lowball undergo;packaging;1283;true;9
10;broadly function;off gust kindheartedly;above mainstream beep;save scarcely;29170;true;10
